date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:53	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/robots.txt		(from )
20:47:54	66505/66505	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202019%2006:03:18%20GMT	http://websmirno.site/childit/index.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/index.html	(from )
20:47:58	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Fri,%2011%20Oct%202019%2006:05:40%20GMT	http://websmirno.site/childit/img/favicon/favicon.ico	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/favicon/favicon.ico	(from http://websmirno.site/childit/index.html)
20:48:06	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/Users/Lenovo/Desktop/project/new%20project/childit/use.fontawesome.com/releases/v5.8.1/css/all.css	(from http://websmirno.site/childit/index.html)
20:48:07	811/811	---MC-	200	added ('OK')	text/css	date:Sat,%2025%20Jun%202022%2015:18:06%20GMT	https://fonts.googleapis.com/css?family=Roboto:400,400i,500,700&display=swap	C:/Users/Lenovo/Desktop/project/new%20project/childit/fonts.googleapis.com/css2db5.css	(from http://websmirno.site/childit/index.html)
20:48:08	1034/1034	---MC-	200	added ('OK')	text/css	date:Sat,%2025%20Jun%202022%2015:18:07%20GMT	https://fonts.googleapis.com/css?family=Poppins:400,400i,500,600,700&display=swap	C:/Users/Lenovo/Desktop/project/new%20project/childit/fonts.googleapis.com/css0050.css	(from http://websmirno.site/childit/index.html)
20:48:14	717/717	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:18%20GMT	http://websmirno.site/childit/img/map-marker-white.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/map-marker-white.svg	(from http://websmirno.site/childit/index.html)
20:48:14	1049324/1049324	---M--	200	added ('OK')	text/css	date:Thu,%2021%20May%202012%2020:00:00%20GMT	http://websmirno.site/childit/css/index.css	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/css/index.css	(from http://websmirno.site/childit/index.html)
20:48:16	3891/3891	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:03:32%20GMT	http://websmirno.site/childit/img/calendar-white.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/calendar-white.svg	(from http://websmirno.site/childit/index.html)
20:48:16	1261/1261	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:25%20GMT	http://websmirno.site/childit/img/paper-white.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/paper-white.svg	(from http://websmirno.site/childit/index.html)
20:48:17	1724/1724	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:30%20GMT	http://websmirno.site/childit/img/phone-white.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/phone-white.svg	(from http://websmirno.site/childit/index.html)
20:48:18	693/693	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:18%20GMT	http://websmirno.site/childit/img/map-marker.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/map-marker.svg	(from http://websmirno.site/childit/index.html)
20:48:18	68/68	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Oct%202019%2006:04:11%20GMT	http://websmirno.site/childit/img/lazy.png	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/lazy.png	(from http://websmirno.site/childit/index.html)
20:48:19	16799/16799	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:12%20GMT	http://websmirno.site/childit/img/logo.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/logo.svg	(from http://websmirno.site/childit/index.html)
20:48:19	44957/44957	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:13%20GMT	http://websmirno.site/childit/about-us.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/about-us.html	(from http://websmirno.site/childit/index.html)
20:48:20	27810/27810	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:19%20GMT	http://websmirno.site/childit/programs.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/programs.html	(from http://websmirno.site/childit/index.html)
20:48:21	29675/29675	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:18%20GMT	http://websmirno.site/childit/parent-info.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/parent-info.html	(from http://websmirno.site/childit/index.html)
20:48:21	34316/34316	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:15%20GMT	http://websmirno.site/childit/events.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/events.html	(from http://websmirno.site/childit/index.html)
20:48:22	20716/20716	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:19%20GMT	http://websmirno.site/childit/single-event.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/single-event.html	(from http://websmirno.site/childit/index.html)
20:48:27	22300/22300	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:15%20GMT	http://websmirno.site/childit/gallery-boxed.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/gallery-boxed.html	(from http://websmirno.site/childit/index.html)
20:48:28	21791/21791	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:16%20GMT	http://websmirno.site/childit/gallery-full-width.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/gallery-full-width.html	(from http://websmirno.site/childit/index.html)
20:48:29	28215/28215	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Oct%202019%2007:46:03%20GMT	http://websmirno.site/childit/faq.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/faq.html	(from http://websmirno.site/childit/index.html)
20:48:29	25660/25660	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:20%20GMT	http://websmirno.site/childit/testimonials.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/testimonials.html	(from http://websmirno.site/childit/index.html)
20:48:30	31057/31057	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:18%20GMT	http://websmirno.site/childit/prices.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/prices.html	(from http://websmirno.site/childit/index.html)
20:48:31	35289/35289	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:14%20GMT	http://websmirno.site/childit/blog-posts.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/blog-posts.html	(from http://websmirno.site/childit/index.html)
20:48:33	32200/32200	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:20%20GMT	http://websmirno.site/childit/single-post.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/single-post.html	(from http://websmirno.site/childit/index.html)
20:48:35	19532/19532	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Aug%202019%2011:02:14%20GMT	http://websmirno.site/childit/contacts.html	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/contacts.html	(from http://websmirno.site/childit/index.html)
20:48:37	1503/1503	---M-Z	200	added ('OK')	text/html	etag:%225df-52e5b399c4ec0;5288c149e3b80	http://www.w3.org/2000/svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/www.w3.org/2000/svg.html	(from http://websmirno.site/childit/index.html)
20:48:37	1188/1188	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:17%20GMT	http://websmirno.site/childit/img/main-slider-rect.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/main-slider-rect.svg	(from http://websmirno.site/childit/index.html)
20:48:42	1005/1005	---M-Z	200	added ('OK')	text/html	etag:%223ed-36aa630531a80;91-45d2642d15c80	http://www.w3.org/1999/xlink	C:/Users/Lenovo/Desktop/project/new%20project/childit/www.w3.org/1999/xlink.html	(from http://websmirno.site/childit/index.html)
20:48:52	38414/38414	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Oct%202019%2006:03:31%20GMT	http://websmirno.site/childit/img/blue-wave.png	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/blue-wave.png	(from http://websmirno.site/childit/index.html)
20:48:54	67783/67783	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:45%20GMT	http://websmirno.site/childit/img/svg-block-1.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/svg-block-1.jpg	(from http://websmirno.site/childit/index.html)
20:48:54	108667/108667	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:17%20GMT	http://websmirno.site/childit/img/main-slider-2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/main-slider-2.jpg	(from http://websmirno.site/childit/index.html)
20:48:57	35335/35335	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:39%20GMT	http://websmirno.site/childit/img/educational-1.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/educational-1.jpg	(from http://websmirno.site/childit/index.html)
20:48:58	231081/231081	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:04:14%20GMT	http://websmirno.site/childit/img/main-slider-1.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/main-slider-1.jpg	(from http://websmirno.site/childit/index.html)
20:49:02	51769/51769	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:40%20GMT	http://websmirno.site/childit/img/educational-2.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/educational-2.jpg	(from http://websmirno.site/childit/index.html)
20:49:04	3630/3630	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:07%20GMT	http://websmirno.site/childit/img/gardering.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gardering.svg	(from http://websmirno.site/childit/index.html)
20:49:04	3416/3416	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:44%20GMT	http://websmirno.site/childit/img/sport.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/sport.svg	(from http://websmirno.site/childit/index.html)
20:49:05	3215/3215	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:03:27%20GMT	http://websmirno.site/childit/img/art.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/art.svg	(from http://websmirno.site/childit/index.html)
20:49:05	43971/43971	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:41%20GMT	http://websmirno.site/childit/img/educational-3.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/educational-3.jpg	(from http://websmirno.site/childit/index.html)
20:49:05	5946/5946	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:03:45%20GMT	http://websmirno.site/childit/img/excursions.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/excursions.svg	(from http://websmirno.site/childit/index.html)
20:49:06	36198/36198	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Oct%202019%2006:03:41%20GMT	http://websmirno.site/childit/img/educational-4.jpg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/educational-4.jpg	(from http://websmirno.site/childit/index.html)
20:49:06	4486/4486	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:24%20GMT	http://websmirno.site/childit/img/outdoor.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/outdoor.svg	(from http://websmirno.site/childit/index.html)
20:49:07	6328/6328	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:19%20GMT	http://websmirno.site/childit/img/math.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/math.svg	(from http://websmirno.site/childit/index.html)
20:49:07	7765/7765	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:12%20GMT	http://websmirno.site/childit/img/literacy.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/literacy.svg	(from http://websmirno.site/childit/index.html)
20:49:12	616108/616108	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:59%20GMT	http://websmirno.site/childit/img/wave-video.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/wave-video.svg	(from http://websmirno.site/childit/index.html)
20:49:14	2590/2590	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Oct%202019%2006:04:08%20GMT	http://websmirno.site/childit/img/gray_wave-1.svg	C:/Users/Lenovo/Desktop/project/new%20project/childit/websmirno.site/childit/img/gray_wave-1.svg	(from http://websmirno.site/childit/index.html)
